                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.2241,                0.75643,                 1.2951,                0.86718,                0.70596,                0.80659,                0.51804,                 1.7196,                 1.9678,                 1.5944,               0.001802,               0.001802,               0.001802
                     13,                 1.2308,                0.76058,                  1.348,                0.92415,                0.67568,                0.80232,                0.52944,                 1.9329,                 1.9418,                 1.7109,              0.0017822,              0.0017822,              0.0017822
                     14,                  1.218,                0.76668,                 1.2929,                0.83994,                0.70929,                 0.7839,                0.47319,                 1.8413,                 2.5281,                 1.6493,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2862,                0.81373,                 1.3466,                0.85591,                0.64865,                0.77205,                0.49272,                 1.6581,                  2.097,                 1.5432,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.197,                0.76165,                 1.2697,                0.90094,                0.73763,                0.84612,                 0.5643,                 1.6977,                 1.8039,                 1.5674,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1664,                0.69865,                 1.2546,                0.85203,                0.64865,                0.77047,                0.50336,                  1.841,                 1.6256,                 1.5829,               0.001703,               0.001703,               0.001703
                     18,                 1.1813,                 0.6944,                 1.2975,                0.90239,                0.62162,                0.76417,                0.50494,                 1.8755,                 1.4301,                 1.6185,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2082,                0.74511,                 1.3035,                0.89454,                0.68795,                0.82272,                0.55531,                 1.6944,                 1.1238,                 1.5381,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1343,                0.70651,                 1.2243,                0.89093,                 0.7027,                0.80742,                0.50639,                 1.8094,                 1.8305,                 1.6864,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1454,                0.69642,                 1.2537,                      1,                0.67568,                 0.8378,                 0.5546,                 1.9946,                 1.4817,                 1.8185,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1947,                0.70062,                 1.2691,                0.85294,                0.78378,                0.86296,                0.53407,                 2.0565,                0.96584,                 1.8319,               0.001604,               0.001604,               0.001604
                     23,                 1.1403,                0.66813,                 1.2296,                0.99088,                 0.7027,                 0.8459,                 0.5033,                 2.1484,                 2.8676,                 1.8408,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1455,                0.67992,                 1.2594,                      1,                0.69609,                0.84087,                0.47544,                 1.9244,                 2.7587,                 1.6956,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1121,                0.64606,                 1.2438,                0.81019,                0.72973,                0.78779,                0.50931,                 1.6569,                 2.5273,                 1.5502,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1021,                0.68107,                 1.2368,                0.88978,                0.75676,                0.84978,                0.58928,                 1.7576,                 1.3622,                 1.5006,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.0803,                0.65463,                 1.2104,                      1,                0.72789,                0.85521,                0.62016,                 1.6165,                 1.1817,                 1.4689,               0.001505,               0.001505,               0.001505
                     28,                 1.0505,                0.63448,                 1.2088,                0.93023,                0.72087,                0.85057,                0.59041,                 1.7975,                 1.3163,                 1.6137,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.083,                0.65384,                  1.222,                 0.9626,                0.69587,                0.82754,                0.51044,                 2.3561,                 3.1985,                 1.9805,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1245,                0.70015,                 1.2287,                0.79563,                 0.7367,                 0.8015,                   0.53,                 1.6502,                 2.2744,                 1.5076,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0459,                0.65395,                 1.1713,                0.80356,                0.66356,                0.77472,                0.44298,                 2.0469,                 3.7363,                 1.7084,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.1057,                 0.6609,                 1.2162,                0.92753,                0.72973,                0.84229,                0.58116,                 1.8123,                 2.2787,                 1.5857,               0.001406,               0.001406,               0.001406
                     33,                 1.0533,                0.65085,                 1.2154,                0.97373,                0.67568,                0.82574,                0.59297,                 1.6174,                 2.1784,                 1.5679,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0228,                0.62403,                 1.1703,                0.99324,                0.72973,                0.85653,                0.59012,                 1.7369,                 1.6951,                 1.6115,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.0757,                0.62701,                 1.2194,                0.93103,                0.72973,                 0.8489,                 0.5691,                 1.8693,                 1.2715,                 1.6552,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0291,                0.61418,                 1.1786,                0.95054,                0.67568,                0.81681,                0.52012,                 1.7981,                 2.2312,                 1.7419,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0667,                0.59896,                 1.2061,                0.99035,                 0.7027,                0.83181,                 0.5642,                 1.8882,                 2.5343,                 1.6848,               0.001307,               0.001307,               0.001307
                     38,                0.97365,                0.58741,                 1.1618,                0.96456,                0.75676,                 0.8728,                0.60619,                  1.832,                 1.0582,                 1.6391,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0132,                0.61622,                 1.1962,                0.88852,                0.75676,                0.86008,                0.55682,                 1.8519,                 1.7472,                 1.6516,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0178,                0.57564,                 1.1716,                0.82353,                0.75676,                0.83714,                0.52629,                 1.8312,                 1.6027,                 1.6145,              0.0012476,              0.0012476,              0.0012476
                     41,                0.96521,                0.58676,                 1.1425,                0.96509,                0.74731,                0.85861,                0.57902,                 1.6491,                 1.7016,                 1.5488,              0.0012278,              0.0012278,              0.0012278
                     42,                0.92164,                0.56533,                  1.112,                0.90625,                0.78378,                0.87438,                0.58969,                 1.6319,                0.95787,                 1.5604,               0.001208,               0.001208,               0.001208
                     43,                0.95861,                0.58522,                 1.1487,                0.87871,                0.78324,                0.86495,                  0.551,                 1.7339,                 1.3985,                 1.5937,              0.0011882,              0.0011882,              0.0011882
                     44,                0.89636,                0.54315,                 1.0754,                  0.875,                0.75676,                0.85572,                0.56925,                 1.7783,                 2.0997,                 1.5936,              0.0011684,              0.0011684,              0.0011684
                     45,                0.94401,                0.55134,                 1.1424,                0.91341,                0.72973,                0.84197,                  0.587,                 1.7095,                 1.6847,                 1.5566,              0.0011486,              0.0011486,              0.0011486
                     46,                0.89567,                0.55124,                 1.0865,                0.92833,                0.75676,                0.86368,                0.60569,                 1.6558,                 2.0692,                 1.5508,              0.0011288,              0.0011288,              0.0011288
                     47,                0.91459,                0.56523,                 1.0865,                0.95438,                0.78378,                 0.8614,                0.58346,                 1.9364,                  1.749,                 1.8136,               0.001109,               0.001109,               0.001109
                     48,                0.87713,                 0.5121,                 1.0992,                0.95893,                0.75676,                0.86297,                0.56976,                 1.8828,                 1.0991,                 1.7551,              0.0010892,              0.0010892,              0.0010892
                     49,                0.86903,                0.53018,                 1.0691,                0.98747,                0.78378,                0.86874,                0.57327,                 1.7663,                0.76541,                 1.7125,              0.0010694,              0.0010694,              0.0010694
                     50,                0.87324,                0.49638,                 1.0825,                0.95604,                0.75676,                0.87797,                0.56638,                 1.8832,                0.83648,                 1.8177,              0.0010496,              0.0010496,              0.0010496
                     51,                0.87355,                0.51379,                 1.0754,                0.93548,                0.78378,                0.87592,                0.57541,                 1.8438,                0.88958,                 1.7323,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.9004,                 0.5393,                 1.0909,                0.96667,                0.78378,                0.88628,                0.63896,                 1.5524,                0.80558,                 1.5179,                0.00101,                0.00101,                0.00101
                     53,                0.83277,                0.48899,                 1.0769,                0.99115,                0.72973,                0.84681,                 0.5677,                 1.5604,                 1.2113,                 1.5453,              0.0009902,              0.0009902,              0.0009902
                     54,                0.83387,                0.49165,                 1.0754,                0.96116,                0.75676,                0.86908,                0.56037,                 1.8817,                 1.1183,                 1.7065,              0.0009704,              0.0009704,              0.0009704
                     55,                0.83059,                0.48789,                 1.0774,                0.90909,                0.81081,                0.89171,                0.56828,                 1.7789,                 1.0766,                 1.6079,              0.0009506,              0.0009506,              0.0009506
                     56,                0.83376,                0.52451,                  1.066,                      1,                0.72973,                0.86486,                0.60795,                 1.7894,                 1.2459,                 1.5657,              0.0009308,              0.0009308,              0.0009308
                     57,                0.84432,                0.48108,                 1.0731,                      1,                 0.7027,                0.85132,                0.61954,                  1.703,                0.83733,                  1.536,               0.000911,               0.000911,               0.000911
                     58,                0.84472,                0.47275,                 1.0932,                0.96541,                0.75431,                0.86735,                0.58479,                 1.5936,                 1.1862,                 1.6035,              0.0008912,              0.0008912,              0.0008912
                     59,                0.83538,                0.49722,                 1.0524,                0.92447,                 0.7027,                0.84006,                0.57611,                 1.6086,                 1.7097,                 1.5843,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.8121,                0.47749,                 1.0514,                0.92928,                0.71052,                0.83795,                 0.5473,                 1.6938,                 1.7178,                 1.6334,              0.0008516,              0.0008516,              0.0008516
                     61,                0.79023,                0.46362,                 1.0524,                 0.8982,                0.72973,                0.82697,                0.53538,                 1.8566,                 1.9831,                 1.6962,              0.0008318,              0.0008318,              0.0008318
                     62,                0.82358,                0.48383,                 1.0449,                0.92287,                0.67568,                0.81728,                0.53498,                 1.8032,                 1.2243,                 1.7037,               0.000812,               0.000812,               0.000812
                     63,                0.79857,                0.49452,                 1.0707,                0.92308,                0.64865,                0.80564,                0.54704,                 1.8977,                 1.9476,                 1.7347,              0.0007922,              0.0007922,              0.0007922
                     64,                0.80485,                0.48435,                 1.0405,                0.89308,                0.72973,                0.85356,                 0.5586,                 1.9727,                 1.4433,                 1.7783,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.7958,                0.46784,                 1.0376,                0.96518,                0.74945,                0.86119,                0.54745,                 2.0628,                 1.1357,                 1.8437,              0.0007526,              0.0007526,              0.0007526
                     66,                0.77375,                0.46396,                 1.0498,                0.87879,                0.78378,                0.87081,                0.56774,                 1.9246,                0.73289,                 1.8516,              0.0007328,              0.0007328,              0.0007328
                     67,                0.77878,                0.44404,                 1.0391,                0.96429,                0.72973,                0.85701,                0.59938,                  1.635,                0.72287,                 1.6148,               0.000713,               0.000713,               0.000713
                     68,                0.76925,                0.43721,                 1.0201,                0.96429,                0.72973,                0.85701,                0.59007,                  1.748,                0.81375,                 1.6791,              0.0006932,              0.0006932,              0.0006932
                     69,                0.73133,                0.44409,                 1.0128,                0.96552,                0.75676,                0.87305,                0.61759,                 1.5994,                0.82026,                 1.6338,              0.0006734,              0.0006734,              0.0006734
                     70,                0.73752,                0.44218,                  1.002,                0.93548,                0.78378,                0.88107,                0.62186,                 1.5946,                0.75341,                 1.6022,              0.0006536,              0.0006536,              0.0006536
                     71,                0.72696,                0.44217,                 1.0137,                0.96296,                 0.7027,                0.84368,                0.59554,                  1.877,                0.87641,                 1.6818,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7165,                0.46205,                 1.0148,                0.97547,                0.75676,                0.87408,                0.54609,                 2.0919,                 1.0309,                 1.8137,               0.000614,               0.000614,               0.000614
                     73,                 0.7231,                0.43691,                 1.0097,                0.95934,                0.81081,                0.89877,                0.62853,                 1.7226,                0.80862,                 1.6559,              0.0005942,              0.0005942,              0.0005942
                     74,                0.71422,                0.41366,                 1.0077,                0.96085,                0.78378,                0.88228,                0.61542,                 1.8223,                 0.7585,                 1.8074,              0.0005744,              0.0005744,              0.0005744
                     75,                0.70858,                0.40376,                  1.003,                 0.9552,                 0.7027,                0.83864,                0.58155,                 1.7275,                0.71687,                 1.7295,              0.0005546,              0.0005546,              0.0005546
                     76,                0.68317,                0.42133,                0.97929,                    0.9,                0.72973,                0.84673,                0.57708,                 1.7178,                 0.9105,                  1.694,              0.0005348,              0.0005348,              0.0005348
                     77,                0.68516,                0.41428,                0.99944,                0.96552,                0.75676,                0.87236,                0.58051,                 1.8652,                 1.2108,                  1.713,               0.000515,               0.000515,               0.000515
                     78,                0.67741,                0.41057,                0.99903,                0.96419,                0.72784,                 0.8545,                0.56994,                 1.7605,                 1.0577,                 1.7407,              0.0004952,              0.0004952,              0.0004952
                     79,                0.67289,                0.40127,                0.97647,                0.91908,                0.75676,                0.86306,                0.59562,                 1.6865,                0.94483,                 1.6659,              0.0004754,              0.0004754,              0.0004754
                     80,                0.65347,                0.41018,                0.97367,                0.93333,                0.75676,                0.86567,                0.59257,                 1.7787,                 1.2701,                  1.716,              0.0004556,              0.0004556,              0.0004556
                     81,                0.62809,                0.38494,                0.97627,                0.96552,                0.75676,                 0.8696,                0.56874,                 1.8692,                 1.5218,                 1.7957,              0.0004358,              0.0004358,              0.0004358
                     82,                0.68109,                0.41334,                0.99941,                0.90289,                0.78378,                0.86924,                0.60135,                 1.8069,                0.97658,                 1.6646,               0.000416,               0.000416,               0.000416
                     83,                0.67805,                0.42023,                0.98881,                0.94385,                0.78378,                0.88294,                0.59686,                 1.9559,                0.88645,                 1.7995,              0.0003962,              0.0003962,              0.0003962
                     84,                0.65317,                0.40812,                0.97242,                0.99311,                0.78378,                0.87889,                 0.6046,                 1.9097,                0.85451,                  1.754,              0.0003764,              0.0003764,              0.0003764
                     85,                0.63105,                0.40337,                0.95352,                0.96136,                0.78378,                0.88394,                0.58917,                 2.0004,                 1.0668,                 1.8432,              0.0003566,              0.0003566,              0.0003566
                     86,                0.64189,                0.39268,                0.98342,                0.96639,                0.77718,                0.87789,                0.60156,                 1.9144,                0.99649,                 1.7668,              0.0003368,              0.0003368,              0.0003368
                     87,                0.60859,                0.36658,                0.95802,                0.96258,                0.78378,                0.87413,                0.61191,                  1.921,                0.97314,                 1.7833,               0.000317,               0.000317,               0.000317
                     88,                0.62168,                0.38387,                0.97575,                0.95536,                0.75676,                0.87504,                0.58291,                 1.9483,                0.80252,                 1.8096,              0.0002972,              0.0002972,              0.0002972
                     89,                0.61557,                0.37863,                0.97116,                0.96182,                0.78378,                0.88494,                0.60772,                 1.8992,                0.66313,                 1.7403,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.6288,                0.40543,                0.97058,                0.93548,                0.78378,                0.88197,                0.58669,                 1.9683,                0.69064,                 1.7912,              0.0002576,              0.0002576,              0.0002576
                     91,                0.54644,                0.34123,                0.93158,                 0.9296,                0.78378,                0.87666,                0.58881,                 1.8869,                0.75754,                 1.7195,              0.0002378,              0.0002378,              0.0002378
                     92,                0.54348,                0.33312,                0.93507,                0.92886,                0.78378,                0.87555,                0.60758,                 1.8996,                0.77357,                   1.72,               0.000218,               0.000218,               0.000218
                     93,                0.51244,                0.33172,                0.90555,                0.95828,                0.78378,                0.88294,                0.58897,                 1.9326,                0.77235,                 1.7622,              0.0001982,              0.0001982,              0.0001982
                     94,                0.50456,                0.32762,                0.92232,                0.95893,                0.78378,                0.88394,                0.59867,                 1.9426,                0.75709,                 1.7876,              0.0001784,              0.0001784,              0.0001784
                     95,                0.50369,                0.30925,                0.90516,                      1,                0.77531,                0.88828,                 0.6049,                 1.9773,                0.73373,                 1.8405,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.5071,                0.30722,                0.90357,                      1,                0.78026,                0.88182,                0.58774,                  1.995,                  0.683,                 1.8516,              0.0001388,              0.0001388,              0.0001388
                     97,                0.47565,                0.30833,                0.88616,                      1,                0.77798,                0.88828,                0.60458,                 1.9576,                0.68856,                 1.8322,               0.000119,               0.000119,               0.000119
                     98,                0.50733,                0.33425,                0.89366,                      1,                0.78378,                0.89184,                0.58691,                 1.9963,                0.70745,                 1.8697,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.49354,                0.30436,                0.90059,                      1,                0.78378,                0.89184,                0.58739,                 2.0225,                0.68992,                 1.8975,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.4718,                0.30715,                0.88917,                0.98672,                0.78378,                0.88828,                0.60399,                 1.9924,                0.70781,                 1.8614,               5.96e-05,               5.96e-05,               5.96e-05
