                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1172,                0.73865,                 1.2571,                0.83871,                 0.7027,                0.81752,                0.52461,                 1.8554,                 2.3328,                 1.7793,                0.00046,                0.00046,                0.00046
                      2,                 1.1999,                0.74715,                  1.295,                0.91368,                0.57235,                0.73695,                0.51856,                 2.1953,                 2.2556,                 1.8212,             0.00093069,             0.00093069,             0.00093069
                      3,                 1.2671,                0.85603,                 1.3257,                0.83333,                0.13514,                0.49046,                0.31237,                 2.2356,                 3.5426,                 1.8296,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.3797,                0.87117,                 1.4341,                0.63342,                0.70054,                0.66674,                0.40729,                 1.8546,                 1.8512,                 1.6606,              0.0018436,              0.0018436,              0.0018436
                      5,                  1.305,                0.85895,                 1.3613,                0.66895,                 0.7027,                0.67161,                0.44289,                  1.633,                 6.8473,                 1.5008,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3167,                0.93417,                 1.3686,                0.94708,                0.48381,                0.63282,                0.39278,                 3.5987,                  2.532,                  3.201,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3469,                0.85798,                 1.3885,                0.77665,                0.48649,                0.51105,                0.31367,                 2.8395,                 5.3721,                 2.6692,               0.001901,               0.001901,               0.001901
                      8,                 1.2819,                0.77037,                 1.3409,                0.74012,                0.53886,                 0.6482,                 0.3955,                 2.2655,                 3.3851,                  1.962,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2431,                0.77333,                 1.3343,                0.79355,                0.51351,                0.67502,                0.42581,                 1.8766,                 2.1589,                 1.7411,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2911,                0.82114,                 1.3223,                0.82159,                0.72973,                0.75567,                0.50993,                 1.7245,                  1.437,                 1.4968,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2372,                0.74887,                 1.3079,                  0.875,                0.75676,                0.85478,                 0.4972,                 1.7923,                 3.0669,                  1.591,              0.0018218,              0.0018218,              0.0018218
