                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1134,                0.76783,                 1.2371,                0.87165,                0.73427,                 0.8275,                0.53003,                 1.6639,                 2.2832,                 1.5143,              0.0013466,              0.0013466,              0.0013466
                     36,                  1.087,                0.73408,                 1.2227,                0.90323,                0.75676,                0.85619,                0.51423,                 1.9186,                  2.156,                 1.6611,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0822,                0.74013,                  1.228,                0.81818,                0.72973,                0.80258,                0.48767,                 2.0634,                 2.1751,                 1.7977,               0.001307,               0.001307,               0.001307
                     38,                 1.1122,                0.71284,                 1.2255,                0.71083,                0.67568,                0.74983,                0.50506,                 1.9866,                 2.5107,                 1.7306,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0783,                0.75177,                 1.2071,                0.92579,                0.78378,                0.86193,                0.57097,                 2.0672,                 1.0438,                 1.7094,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0862,                0.73862,                 1.2265,                      1,                0.72762,                0.82706,                0.53379,                 2.0254,                 1.8625,                 1.7006,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0585,                0.74663,                 1.2042,                0.84627,                0.78378,                0.86069,                0.52336,                 2.0878,                 1.7429,                 1.9083,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0377,                0.67604,                  1.193,                0.89262,                0.75676,                0.84444,                0.53249,                 2.0455,                  2.376,                  1.843,               0.001208,               0.001208,               0.001208
                     43,                 1.0652,                0.72749,                 1.2139,                0.96409,                0.72563,                0.84382,                0.53987,                 1.9964,                 2.1829,                 1.7927,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0782,                0.74537,                  1.192,                0.87813,                0.77907,                0.85278,                0.56826,                 1.7973,                 1.3126,                 1.7007,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0426,                0.69988,                 1.1881,                0.96667,                0.78378,                0.88561,                0.56612,                 2.0162,                0.91068,                 1.7785,              0.0011486,              0.0011486,              0.0011486
                     46,                0.98155,                0.65301,                 1.1812,                0.95548,                0.75676,                0.85965,                0.52315,                 1.9372,                  1.949,                 1.6887,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.028,                0.72821,                  1.172,                0.98881,                0.72973,                0.86224,                0.56217,                 1.8092,                 2.2591,                 1.6149,               0.001109,               0.001109,               0.001109
                     48,                 1.0151,                0.68801,                 1.1642,                0.86389,                0.67568,                0.81352,                0.52941,                 1.7927,                 2.7725,                 1.6768,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0052,                0.65298,                 1.1819,                 0.9058,                0.77974,                0.87139,                0.52405,                 1.9581,                 2.5714,                 1.6544,              0.0010694,              0.0010694,              0.0010694
                     50,                0.99949,                0.67758,                 1.1777,                0.93548,                0.78378,                0.88301,                0.57424,                 1.9251,                 2.3241,                   1.57,              0.0010496,              0.0010496,              0.0010496
                     51,                0.97718,                0.64331,                 1.1503,                0.93333,                0.75676,                0.86811,                0.54931,                 1.9825,                 2.0237,                 1.7026,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0251,                0.69097,                 1.1843,                0.89801,                0.71413,                0.81192,                0.49591,                 1.9873,                 1.4898,                  1.727,                0.00101,                0.00101,                0.00101
                     53,                0.99433,                0.64807,                 1.1745,                      1,                0.63938,                0.82459,                0.55635,                  1.908,                 1.1439,                 1.6303,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0009,                0.64276,                 1.1656,                0.89655,                 0.7027,                 0.8222,                0.54937,                 1.9225,                 1.2221,                 1.6848,              0.0009704,              0.0009704,              0.0009704
                     55,                0.99276,                0.67701,                 1.1884,                 0.9481,                0.75676,                0.86563,                0.52457,                 1.8083,                 1.7841,                 1.6725,              0.0009506,              0.0009506,              0.0009506
                     56,                0.97683,                0.64625,                 1.1602,                0.96669,                0.72973,                0.85074,                 0.5201,                 1.9263,                 1.5881,                 1.7986,              0.0009308,              0.0009308,              0.0009308
                     57,                0.94146,                0.64014,                 1.1461,                 0.9318,                 0.7387,                0.86487,                0.55108,                 1.9569,                 1.7697,                 1.7523,               0.000911,               0.000911,               0.000911
                     58,                0.97553,                0.64848,                 1.1658,                0.95024,                 0.7027,                0.85468,                 0.4949,                  2.016,                 1.1146,                 1.7669,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.9276,                0.62367,                 1.1354,                0.92605,                0.67698,                0.82659,                0.52053,                 2.0197,                 1.0611,                 1.7423,              0.0008714,              0.0008714,              0.0008714
                     60,                0.92733,                0.61744,                  1.141,                    0.9,                0.72973,                0.84558,                0.52681,                 2.0917,                 1.0618,                 1.9157,              0.0008516,              0.0008516,              0.0008516
                     61,                0.89746,                0.57061,                 1.1351,                0.96429,                0.72973,                0.85701,                0.52761,                  1.917,                  1.682,                 1.7232,              0.0008318,              0.0008318,              0.0008318
